,WK_CODE,Country,Time,2017,2018,2019
534,WK019703,Wijk 03 Aalten Kern,act col per,0.18825999999999998,0.170691,0.153123
535,WK019703,Wijk 03 Aalten Kern,act fat per,0.11417100000000001,0.139265,0.164358
538,WK019703,Wijk 03 Aalten Kern,biggest party,0.209335,0.229962,0.25058800000000003
539,WK019703,Wijk 03 Aalten Kern,biggest party name,2.0,2.0,2.0
548,WK019704,Wijk 04 Dinxperlo,act ind per,0.473538,0.46086499999999997,0.448191
549,WK019704,Wijk 04 Dinxperlo,act ega per,0.175077,0.17018599999999998,0.165296
550,WK019704,Wijk 04 Dinxperlo,act col per,0.183077,0.160206,0.13733599999999999
551,WK019704,Wijk 04 Dinxperlo,act fat per,0.12307699999999999,0.1594,0.195724
554,WK019704,Wijk 04 Dinxperlo,biggest party,0.22892300000000002,0.241106,0.253289
555,WK019704,Wijk 04 Dinxperlo,biggest party name,2.0,2.0,2.0
564,WK005900,Wijk 00 Noord,act ind per,0.473225,0.4308,0.388376
565,WK005900,Wijk 00 Noord,act ega per,0.12829300000000002,0.10901199999999998,0.08973099999999999
566,WK005900,Wijk 00 Noord,act col per,0.174542,0.156778,0.139014
567,WK005900,Wijk 00 Noord,act fat per,0.187142,0.20961300000000002,0.23208299999999998
570,WK005900,Wijk 00 Noord,biggest party,0.23253200000000002,0.21296700000000002,0.193403
571,WK005900,Wijk 00 Noord,biggest party name,2.0,2.0,2.0
580,WK005901,Wijk 01 Centrum,act ind per,0.512632,0.46480699999999997,0.41698199999999996
581,WK005901,Wijk 01 Centrum,act ega per,0.101467,0.0804793,0.05949159999999999
582,WK005901,Wijk 01 Centrum,act col per,0.144254,0.11620499999999999,0.0881557
583,WK005901,Wijk 01 Centrum,act fat per,0.197229,0.24788400000000002,0.29854
586,WK005901,Wijk 01 Centrum,biggest party,0.279544,0.261459,0.243375
587,WK005901,Wijk 01 Centrum,biggest party name,2.0,2.0,2.0
596,WK005902,Wijk 02 Zuid,act ind per,0.433982,0.387309,0.34063499999999997
597,WK005902,Wijk 02 Zuid,act ega per,0.10878900000000001,0.0860668,0.06334429999999999
598,WK005902,Wijk 02 Zuid,act col per,0.190675,0.16653099999999998,0.14238800000000001
599,WK005902,Wijk 02 Zuid,act fat per,0.22280300000000003,0.270401,0.317999
602,WK005902,Wijk 02 Zuid,biggest party,0.23455700000000002,0.211838,0.18912
603,WK005902,Wijk 02 Zuid,biggest party name,2.0,2.0,2.0
612,WK048201,Wijk 01 Centrum,act ind per,0.38207800000000003,0.345425,0.308772
613,WK048201,Wijk 01 Centrum,act ega per,0.155283,0.127391,0.09949880000000001
614,WK048201,Wijk 01 Centrum,act col per,0.11821400000000001,0.114871,0.111529
615,WK048201,Wijk 01 Centrum,act fat per,0.304437,0.36788200000000004,0.431328
618,WK048201,Wijk 01 Centrum,biggest party,0.176299,0.184751,0.223559
619,WK048201,Wijk 01 Centrum,biggest party name,1.0,11.0,11.0
628,WK048202,Wijk 02 Kinderdijk,act ind per,0.35483899999999996,0.325869,0.2969
629,WK048202,Wijk 02 Kinderdijk,act ega per,0.14098,0.128031,0.11508099999999999
630,WK048202,Wijk 02 Kinderdijk,act col per,0.13739500000000002,0.134383,0.13137200000000002
631,WK048202,Wijk 02 Kinderdijk,act fat per,0.326563,0.36428,0.401997
634,WK048202,Wijk 02 Kinderdijk,biggest party,0.169654,0.178626,0.187599
635,WK048202,Wijk 02 Kinderdijk,biggest party name,11.0,11.0,11.0
644,WK048203,Wijk 03 Blokweer,act ind per,0.34784,0.321254,0.294667
645,WK048203,Wijk 03 Blokweer,act ega per,0.182328,0.158275,0.134222
646,WK048203,Wijk 03 Blokweer,act col per,0.131223,0.120723,0.110222
647,WK048203,Wijk 03 Blokweer,act fat per,0.299374,0.354798,0.41022200000000003
650,WK048203,Wijk 03 Blokweer,biggest party,0.17177699999999999,0.157066,0.17466700000000002
651,WK048203,Wijk 03 Blokweer,biggest party name,1.0,11.0,11.0
660,WK048204,Wijk 04 Souburgh,act ind per,0.358657,0.327604,0.296552
661,WK048204,Wijk 04 Souburgh,act ega per,0.150177,0.119341,0.0885058
662,WK048204,Wijk 04 Souburgh,act col per,0.155477,0.158773,0.16206900000000002
663,WK048204,Wijk 04 Souburgh,act fat per,0.293286,0.336873,0.38045999999999996
666,WK048204,Wijk 04 Souburgh,biggest party,0.155477,0.147869,0.174713
667,WK048204,Wijk 04 Souburgh,biggest party name,3.0,11.0,11.0
676,WK048205,Wijk 05 Bedrijventerrein,act ind per,0.367483,0.367483,0.367483
677,WK048205,Wijk 05 Bedrijventerrein,act ega per,0.11625799999999999,0.11625799999999999,0.11625799999999999
678,WK048205,Wijk 05 Bedrijventerrein,act col per,0.122494,0.122494,0.122494
679,WK048205,Wijk 05 Bedrijventerrein,act fat per,0.35278400000000004,0.35278400000000004,0.35278400000000004
682,WK048205,Wijk 05 Bedrijventerrein,biggest party,0.208909,0.208909,0.208909
683,WK048205,Wijk 05 Bedrijventerrein,biggest party name,11.0,11.0,11.0
692,WK048206,Wijk 06 Landelijk gebied,act ind per,0.367483,0.367483,0.367483
693,WK048206,Wijk 06 Landelijk gebied,act ega per,0.11625799999999999,0.11625799999999999,0.11625799999999999
694,WK048206,Wijk 06 Landelijk gebied,act col per,0.122494,0.122494,0.122494
695,WK048206,Wijk 06 Landelijk gebied,act fat per,0.35278400000000004,0.35278400000000004,0.35278400000000004
698,WK048206,Wijk 06 Landelijk gebied,biggest party,0.208909,0.208909,0.208909
699,WK048206,Wijk 06 Landelijk gebied,biggest party name,11.0,11.0,11.0
708,WK061301,Wijk 01 Poortugaal Noord,act ind per,0.42167299999999996,0.362019,0.30236599999999997
709,WK061301,Wijk 01 Poortugaal Noord,act ega per,0.209069,0.192177,0.175285
710,WK061301,Wijk 01 Poortugaal Noord,act col per,0.09717310000000001,0.10336300000000001,0.109553
711,WK061301,Wijk 01 Poortugaal Noord,act fat per,0.211425,0.278368,0.34531100000000003
714,WK061301,Wijk 01 Poortugaal Noord,biggest party,0.30800900000000003,0.26049,0.281332
715,WK061301,Wijk 01 Poortugaal Noord,biggest party name,1.0,1.0,12.0
724,WK061302,Wijk 02 Rhoon Noord,act ind per,0.437633,0.343524,0.249415
725,WK061302,Wijk 02 Rhoon Noord,act ega per,0.190106,0.193414,0.196721
726,WK061302,Wijk 02 Rhoon Noord,act col per,0.11395799999999999,0.110257,0.106557
727,WK061302,Wijk 02 Rhoon Noord,act fat per,0.218375,0.280733,0.343091
730,WK061302,Wijk 02 Rhoon Noord,biggest party,0.271378,0.201848,0.242389
731,WK061302,Wijk 02 Rhoon Noord,biggest party name,1.0,1.0,12.0
740,WK061303,Wijk 03 Poortugaal Zuid,act ind per,0.39545,0.333789,0.27212800000000004
741,WK061303,Wijk 03 Poortugaal Zuid,act ega per,0.199439,0.205652,0.211864
742,WK061303,Wijk 03 Poortugaal Zuid,act col per,0.13244,0.116126,0.09981169999999999
743,WK061303,Wijk 03 Poortugaal Zuid,act fat per,0.20754099999999998,0.271379,0.335217
746,WK061303,Wijk 03 Poortugaal Zuid,biggest party,0.255531,0.206391,0.259887
747,WK061303,Wijk 03 Poortugaal Zuid,biggest party name,1.0,1.0,12.0
756,WK061304,Wijk 04 Rhoon Zuid,act ind per,0.45992,0.43000200000000005,0.40008499999999997
757,WK061304,Wijk 04 Rhoon Zuid,act ega per,0.206413,0.188124,0.16983499999999999
758,WK061304,Wijk 04 Rhoon Zuid,act col per,0.104208,0.0962529,0.0882974
759,WK061304,Wijk 04 Rhoon Zuid,act fat per,0.18136300000000002,0.232633,0.283904
762,WK061304,Wijk 04 Rhoon Zuid,biggest party,0.291583,0.261972,0.23236199999999999
763,WK061304,Wijk 04 Rhoon Zuid,biggest party name,1.0,1.0,1.0
772,WK061305,Wijk 05 Buitengebied Albrandswaard,act ind per,0.437633,0.437633,0.437633
773,WK061305,Wijk 05 Buitengebied Albrandswaard,act ega per,0.190106,0.190106,0.190106
774,WK061305,Wijk 05 Buitengebied Albrandswaard,act col per,0.11395799999999999,0.11395799999999999,0.11395799999999999
775,WK061305,Wijk 05 Buitengebied Albrandswaard,act fat per,0.218375,0.218375,0.218375
778,WK061305,Wijk 05 Buitengebied Albrandswaard,biggest party,0.271378,0.271378,0.271378
779,WK061305,Wijk 05 Buitengebied Albrandswaard,biggest party name,1.0,1.0,1.0
788,WK061306,Wijk 06 Portland,act ind per,0.42368,0.376548,0.329416
789,WK061306,Wijk 06 Portland,act ega per,0.194246,0.17615999999999998,0.158074
790,WK061306,Wijk 06 Portland,act col per,0.100095,0.0981901,0.09628510000000001
791,WK061306,Wijk 06 Portland,act fat per,0.226106,0.28818499999999997,0.350265
794,WK061306,Wijk 06 Portland,biggest party,0.315977,0.274175,0.268385
795,WK061306,Wijk 06 Portland,biggest party name,1.0,1.0,12.0
804,WK061307,Wijk 07 Rotterdam Albrandswaard,act ind per,nan,nan,nan
805,WK061307,Wijk 07 Rotterdam Albrandswaard,act ega per,nan,nan,nan
806,WK061307,Wijk 07 Rotterdam Albrandswaard,act col per,nan,nan,nan
807,WK061307,Wijk 07 Rotterdam Albrandswaard,act fat per,nan,nan,nan
810,WK061307,Wijk 07 Rotterdam Albrandswaard,biggest party,nan,nan,nan
811,WK061307,Wijk 07 Rotterdam Albrandswaard,biggest party name,nan,nan,nan
820,WK036101,Zuid,act ind per,0.324498,0.28289000000000003,0.24128200000000002
821,WK036101,Zuid,act ega per,0.33467199999999997,0.353037,0.371402
822,WK036101,Zuid,act col per,0.158801,0.160374,0.161947
823,WK036101,Zuid,act fat per,0.128751,0.147455,0.16616
826,WK036101,Zuid,biggest party,0.22209099999999998,0.18628499999999998,0.182307
827,WK036101,Zuid,biggest party name,1.0,1.0,6.0
836,WK036102,Oudorp,act ind per,0.324498,0.282643,0.240787
837,WK036102,Oudorp,act ega per,0.33467199999999997,0.322696,0.31072
838,WK036102,Oudorp,act col per,0.158801,0.159698,0.16059500000000002
839,WK036102,Oudorp,act fat per,0.128751,0.172206,0.215662
842,WK036102,Oudorp,biggest party,0.22209099999999998,0.18391,0.156616
843,WK036102,Oudorp,biggest party name,1.0,1.0,6.0
852,WK036103,Overdie,act ind per,0.324498,0.241893,0.15928900000000001
853,WK036103,Overdie,act ega per,0.33467199999999997,0.33243,0.330189
854,WK036103,Overdie,act col per,0.158801,0.159408,0.16001500000000002
